Date,Issuer,Bloomberg Code,Currency,Volume (m),FX rate,USD equivalent,Coupon,Coupon Type,Maturity,Re-Offer,IPT/IPG,Spread,Yield,First Call Date,Moody's,S&P,Fitch,Ranking,Subordinated,Covered,Increase?,Format,NIP,Region,Country,Sector,Category,Bookrunners,Passive Leads,LT eligible?,Stats,Web Articles,Bberg Articles on EMRJ/IGRC,Add. Info,Tier,Green,Sustainable,Sustainability-Linked,Social,Senior Non-Preferred,Senior Preferred,COC,MWC,CUC,HoldCo,OpCo,Deal ID,LEAD1,LEAD2,LEAD3,LEAD4,LEAD5,LEAD6,LEAD7,LEAD8,LEAD9,LEAD10,LEAD11,LEAD12,LEAD13
24-May-23,DZ HYP,ZK7649641 CORP,EUR,500,1.07556,537.33,3.25,Fixed,31-May-33,99.916,MS+20a,MS+16,3.26%,,Aaa,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"BNP, ING, LBBW, DZ, NATWES, ERST",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13730112,BNP PARIBAS,ING,LBBW,DZ BANK,NATWEST MARKETS,ERSTE BANK,,,,,,,
24-May-23,VAN LANSCHOT,ZK7506155 CORP,EUR,500,1.07556,536.5,3.5,Fixed,31-May-26,99.762,MS+25a,MS+21,3.585%,,NR,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,NETHERLANDS,Financial,Banking,"BNP, ING, LBBW, DZ, RABO",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13730092,BNP PARIBAS,ING,LBBW,DZ BANK,RABOBANK,,,,,,,,
23-May-23,EQUITABLE BANK,ZK6542961 CORP,EUR,300,1.07694,322.85,99.928,Fixed,28-May-26,99.928,MS+50/52,MS+52,3.901%,,NR,NR,AA,IG,No,Yes,No,RegS only,,North America,CANADA,Financial,Banking,"BAR, TD, LBBW, DZ, SCOTIA",,Yes,,,No,,,No,No,No,No,No,No,No,No,No,No,No,13720689,BARCLAYS,TORONTO DOMINION,LBBW,DZ BANK,SCOTIABANK,,,,,,,,
23-May-23,AKTIA,ZK7506551 CORP,EUR,500,1.07694,537.4,3.375,Fixed,30-May-27,99.801,MS+21a,MS+17,3.429%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,FINLAND,Financial,Banking,"LBBW, DZ, NOR, ERST, DAN",,Yes,"Geography: DACH 51.00%, Finland 17.00%, Other Nordic 13.00%, Benelux 11.00%, UK 3.00%, France 3.00%, Italy 2.00%.
Investor Type: Banks 67.00%, Central Banks/Official Institutions 22.00%, Asset Managers 10.00%, Insurers 1.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13720664,LBBW,DZ BANK,NORDEA,ERSTE BANK,DANSKE BANK,,,,,,,,
23-May-23,ING BELGIUM,ZK7614082 CORP,EUR,1250,1.07694,1343.55,3.375,Fixed,31-May-27,99.805,MS+19a,MS+17,3.428%,,Aaa,NR,AAA,IG,No,Yes,No,RegS only,,Western Europe,BELGIUM,Financial,Financial Services,"BAR, ING, UNICR, CA, LBBW, HEL",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13720663,BARCLAYS,ING,UNICREDIT,CREDIT AGRICOLE,LBBW,HELABA,,,,,,,
22-May-23,KBC,ZK7495680 CORP,EUR,750,1.08107,809.33,3.25,Fixed,30-May-29,99.818,MS+17a,MS+15,3.29%,,Aaa,NR,AAA,IG,No,Yes,No,RegS only,,Western Europe,BELGIUM,Financial,Banking,"HSBC, UBS, CMZB, NAT, KBC, SAN",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13720300,HSBC,UBS,COMMERZBANK,NATIXIS,KBC BANK,SANTANDER,,,,,,,
17-May-23,JYSKE BANK,ZK6843559 CORP,EUR,750,1.0838,812.7,3.25,Fixed,1-Jul-30,99.982,MS+34a,MS+30,3.252%,,NR,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,DENMARK,Financial,Banking,"ING, CMZB, DZ, DAN, JYSKE",,Yes,"Geography: DACH 52.00%, Benelux 19.00%, Nordics 13.00%, France 8.00%, UK/Ireland 6.00%, Southern Europe 2.00%.
Investor Type: Banks/Private Banks 71.00%, Central Banks/Official Institutions 17.00%, Asset Managers 11.00%, Insurers/Pension Funds 1.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13711546,ING,COMMERZBANK,DZ BANK,DANSKE BANK,JYSKE BANK,,,,,,,,
16-May-23,BNP PARIBAS HOME LOAN SFH,ZK6803538 CORP,EUR,1500,1.08653,1620.8,3,Fixed,25-May-28,99.448,MS+20a,MS+15,3.121%,,NR,AAA,AAA,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"BBVA, BNP, ING, DZ, IMI, NOR, SAN, DAN",,Yes,"Geography: Germany 42.00%, France 19.00%, Southern Europe 15.00%, Benelux 9.00%, Nordics 8.00%, Switzerland 5.00%, Others 2.00%.
Investor Type: Banks/Private Banks 66.00%, Official Institutions 23.00%, Fund Managers 8.00%, Insurers 3.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13711255,BBVA,BNP PARIBAS,ING,DZ BANK,IMI- INTESA SANPAOLO,NORDEA,SANTANDER,DANSKE BANK,,,,,
16-May-23,RAIFFEISEN BANK,ZK6617946 CORP,EUR,500,1.08653,542,3.375,Fixed,25-Sep-27,99.767,MS+45a,MS+45,3.437%,,Aa1,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"CMZB, UNICR, CA, DZ, MED, RBINT",,Yes,"Geography: Austria 37.00%, Germany 25.00%, Nordics 14.00%, Asia 7.00%, Italy 6.00%, Luxembourg 5.00%, France 5.00%, Spain 1.00%.
Investor Type: Banks 59.00%, Asset Managers/Fund Managers 40.00%, Insurers/Pension Funds 1.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13711194,COMMERZBANK,UNICREDIT,CREDIT AGRICOLE,DZ BANK,MEDIOBANCA,RAIFFEISEN BANK INTERNATIONAL,,,,,,,
16-May-23,BERLIN HYP,ZK6548422 CORP,EUR,750,1.08653,809.05,2.875,Fixed,24-May-30,99.283,MS+11a,MS+9,2.99%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"JPM, CMZB, CA, LBBW, DZ",,Yes,,,No,MC,,Yes,No,No,No,No,No,No,No,No,No,No,13711146,JP MORGAN,COMMERZBANK,CREDIT AGRICOLE,LBBW,DZ BANK,,,,,,,,
